%time,field.data
1363730000000,cross-track error :0.060808300972
1363760000000,cross-track error :0.0603486299515
1363810000000,cross-track error :0.0597217082977
1363860000000,cross-track error :0.05992436409
1363920000000,cross-track error :-0.89999999851
1363960000000,cross-track error :0.0579652786255
1363980000000,cross-track error :0.0576274394989
1364050000000,cross-track error :0.0590541362762
1364090000000,cross-track error :0.0636168718338
1364140000000,cross-track error :0.0637489557266
1364170000000,cross-track error :0.0631093978882
1364220000000,cross-track error :0.0606937408447
1364250000000,cross-track error :0.0576415061951
1364300000000,cross-track error :0.0556256771088
1364330000000,cross-track error :0.0544782876968
1364380000000,cross-track error :0.0513921976089
1364420000000,cross-track error :0.0484681129456
1364450000000,cross-track error :0.046657204628
1364470000000,cross-track error :0.0450204610825
1364510000000,cross-track error :0.0438752174377
1364530000000,cross-track error :0.0422053337097
1364560000000,cross-track error :0.0407849550247
1364580000000,cross-track error :0.0401999950409
1364620000000,cross-track error :0.0374742746353
1364640000000,cross-track error :0.0338275432587
1364690000000,cross-track error :0.0334184169769
1364730000000,cross-track error :0.0299409627914
1364760000000,cross-track error :0.0256479978561
1364790000000,cross-track error :0.0247948169708
1364820000000,cross-track error :0.022318482399
1364850000000,cross-track error :0.0200453996658
1364880000000,cross-track error :0.0179213285446
1364920000000,cross-track error :0.0160447359085
1364950000000,cross-track error :0.0127040147781
1364990000000,cross-track error :0.0112167596817
1365020000000,cross-track error :0.00780367851257
1365060000000,cross-track error :0.00629580020905
1365080000000,cross-track error :0.00388669967651
1365110000000,cross-track error :0.00197374820709
1365150000000,cross-track error :-0.00129908323288
1365180000000,cross-track error :-0.00308191776276
1365210000000,cross-track error :-0.00593572854996
1365240000000,cross-track error :-0.00702160596848
1365270000000,cross-track error :-0.0093509554863
1365320000000,cross-track error :-0.0115875005722
1365340000000,cross-track error :-0.0141759514809
1365380000000,cross-track error :-0.0169416069984
1365410000000,cross-track error :-0.0178174972534
1365440000000,cross-track error :-0.0200092792511
1365480000000,cross-track error :-0.0226899385452
1365500000000,cross-track error :-0.0245512723923
1365520000000,cross-track error :-0.025478720665
1365550000000,cross-track error :-0.0270911455154
1365610000000,cross-track error :-0.0297133922577
1365640000000,cross-track error :-0.0336760878563
1365670000000,cross-track error :-0.034691631794
1365680000000,cross-track error :-0.0367813110352
1365730000000,cross-track error :-0.036606490612
1365750000000,cross-track error :-0.0386789441109
1365780000000,cross-track error :-0.0400889515877
1365810000000,cross-track error :-0.0433601737022
1365850000000,cross-track error :-0.0431651473045
1365870000000,cross-track error :-0.0441791415215
1365910000000,cross-track error :-0.0461940169334
1365940000000,cross-track error :-0.0470153689384
1365980000000,cross-track error :-0.0496846437454
1366050000000,cross-track error :-0.0505343675613
1366090000000,cross-track error :-0.0533215999603
1366120000000,cross-track error :-0.0557401776314
1366160000000,cross-track error :-0.0559659004211
1366190000000,cross-track error :-0.057599067688
1366210000000,cross-track error :-0.0584963560104
1366250000000,cross-track error :-0.059746325016
1366280000000,cross-track error :-0.0603809952736
1366310000000,cross-track error :-0.0620148777962
1366350000000,cross-track error :-0.0634199976921
1366380000000,cross-track error :-0.0656071305275
1366410000000,cross-track error :-0.0647372603416
1366460000000,cross-track error :-0.0665766000748
1366480000000,cross-track error :-0.0686019659042
1366510000000,cross-track error :-0.0693779587746
1366530000000,cross-track error :-0.0699627399445
1366550000000,cross-track error :-0.0699908733368
1366580000000,cross-track error :-0.0719244480133
1366640000000,cross-track error :-0.0734161138535
1366700000000,cross-track error :-0.074469268322
1366740000000,cross-track error :-0.0750107169151
1366770000000,cross-track error :-0.0759728550911
1366810000000,cross-track error :-0.076403439045
1366840000000,cross-track error :-0.0782989859581
1366880000000,cross-track error :-0.0790002346039
1366950000000,cross-track error :-0.0785892009735
1366980000000,cross-track error :-0.0813131332397
1367010000000,cross-track error :-0.0816529989243
1367050000000,cross-track error :-0.0823634266853
1367090000000,cross-track error :-0.0814269185066
1367130000000,cross-track error :-0.0829518437386
1367170000000,cross-track error :-0.083546102047
1367220000000,cross-track error :-0.0839434862137
1367270000000,cross-track error :-0.084930896759
1367320000000,cross-track error :-0.0858825445175
1367350000000,cross-track error :-0.0859361886978
1367370000000,cross-track error :-0.0878821611404
1367410000000,cross-track error :-0.0890356302261
1367460000000,cross-track error :-0.0882049798965
1367490000000,cross-track error :-0.0881953835487
1367530000000,cross-track error :-0.0897829532623
1367560000000,cross-track error :-0.0888068675995
1367590000000,cross-track error :-0.0894410014153
1367620000000,cross-track error :-0.0895739793777
1367660000000,cross-track error :-0.0897158384323
1367690000000,cross-track error :-0.0897055268288
1367720000000,cross-track error :-0.0893266797066
1367750000000,cross-track error :-0.0897458791733
1367770000000,cross-track error :-0.0904827713966
1367790000000,cross-track error :-0.0900616645813
1367830000000,cross-track error :-0.0909585356712
1367860000000,cross-track error :-0.0905389785767
1367910000000,cross-track error :-0.0904902219772
1367920000000,cross-track error :-0.0911905169487
1367950000000,cross-track error :-0.0899848937988
1367980000000,cross-track error :-0.090637922287
1368010000000,cross-track error :-0.0901466012001
1368040000000,cross-track error :-0.0905091166496
1368080000000,cross-track error :-0.0915003418922
1368100000000,cross-track error :-0.0903164148331
