%time,field.data
733010000000,cross-track error :-0.263126134872
733060000000,cross-track error :-0.260348856449
733120000000,cross-track error :-0.257814228535
733150000000,cross-track error :-0.25420486927
733170000000,cross-track error :-0.251038432121
733190000000,cross-track error :-0.250362932682
733210000000,cross-track error :-0.24892771244
733230000000,cross-track error :-0.246411323547
733260000000,cross-track error :-0.245622098446
733280000000,cross-track error :-0.242177665234
733310000000,cross-track error :-0.237253844738
733330000000,cross-track error :-0.234997808933
733350000000,cross-track error :-0.233185648918
733370000000,cross-track error :-0.231048762798
733390000000,cross-track error :-0.227709889412
733410000000,cross-track error :-0.224848985672
733430000000,cross-track error :-0.222437918186
733450000000,cross-track error :-0.219157040119
733480000000,cross-track error :-0.216129899025
733500000000,cross-track error :-0.211221158504
733520000000,cross-track error :-0.207914471626
733550000000,cross-track error :-0.204705655575
733570000000,cross-track error :-0.200565695763
733590000000,cross-track error :-0.198810994625
733620000000,cross-track error :-0.194471418858
733630000000,cross-track error :-0.189335048199
733650000000,cross-track error :-0.185317218304
733670000000,cross-track error :-0.180812716484
733700000000,cross-track error :-0.177603960037
733710000000,cross-track error :-0.173301279545
733740000000,cross-track error :-0.17074906826
733760000000,cross-track error :-0.167293846607
733780000000,cross-track error :-0.162764191628
733800000000,cross-track error :-0.159584701061
733830000000,cross-track error :-0.155815601349
733850000000,cross-track error :-0.150394380093
733880000000,cross-track error :-0.14623695612
733900000000,cross-track error :-0.140731096268
733920000000,cross-track error :-0.137478768826
733950000000,cross-track error :-0.133466184139
733970000000,cross-track error :-0.126981854439
733990000000,cross-track error :-0.123255372047
734020000000,cross-track error :-0.119754135609
734040000000,cross-track error :-0.115489721298
734060000000,cross-track error :-0.110824584961
734080000000,cross-track error :-0.106157541275
734100000000,cross-track error :-0.10273373127
734130000000,cross-track error :-0.0982441306114
734150000000,cross-track error :-0.0942897796631
734170000000,cross-track error :-0.0891156792641
734200000000,cross-track error :-0.0846836566925
734220000000,cross-track error :-0.0821146965027
734310000000,cross-track error :-0.0757313370705
734370000000,cross-track error :-0.0595920681953
734390000000,cross-track error :-0.0477920770645
734440000000,cross-track error :-0.0444530844688
734500000000,cross-track error :-0.0370306372643
734520000000,cross-track error :-0.0297286510468
734560000000,cross-track error :-0.0257497429848
734590000000,cross-track error :-0.0208425521851
734610000000,cross-track error :-0.0167012214661
734630000000,cross-track error :-0.0128126740456
734660000000,cross-track error :-0.00998944044113
734700000000,cross-track error :-0.00626504421234
734710000000,cross-track error :-0.00154930353165
734740000000,cross-track error :0.00239789485931
734760000000,cross-track error :0.00499272346497
734780000000,cross-track error :0.00739896297455
734810000000,cross-track error :0.010058760643
734830000000,cross-track error :0.0125334262848
734850000000,cross-track error :0.0166130065918
734870000000,cross-track error :0.0192217826843
734900000000,cross-track error :0.0211691856384
734920000000,cross-track error :0.023649096489
734940000000,cross-track error :0.0265045166016
734950000000,cross-track error :0.028907418251
734970000000,cross-track error :0.031381726265
735000000000,cross-track error :0.0327435731888
735020000000,cross-track error :0.0349894762039
735040000000,cross-track error :0.0382614135742
735060000000,cross-track error :0.0399104356766
735080000000,cross-track error :0.0416796207428
735110000000,cross-track error :0.0441212654114
735130000000,cross-track error :0.0453263521194
735150000000,cross-track error :0.0461546182632
735170000000,cross-track error :0.0505129098892
735200000000,cross-track error :0.0528485774994
735230000000,cross-track error :0.0531085729599
735250000000,cross-track error :0.0553911924362
735270000000,cross-track error :0.0580059289932
735290000000,cross-track error :0.0594429969788
735310000000,cross-track error :0.0606664419174
735330000000,cross-track error :0.0625467300415
735360000000,cross-track error :0.0634223222733
735380000000,cross-track error :0.06469643116
735400000000,cross-track error :0.0655562877655
735430000000,cross-track error :0.0683071613312
735450000000,cross-track error :0.0697060823441
